,date,approve,disapprove,dk,startDate,endDate,midDate,idate,dop
2,2010 Jan 11-17,50,43,7,1/11/10,17-Jan,1/17/10,1/20/09,362
3,2010 Jan 4-10,51,43,7,1/4/10,1/10/10,1/10/10,1/20/09,355
4,2009 Dec 28-2010 Jan 3,51,43,7,12/28/09,12/28/09,12/28/09,1/20/09,342
5,2009 Dec 21-27,51,43,7,12/21/09,12/21/09,12/21/09,1/20/09,335
6,2009 Dec 14-20,50,43,7,12/14/09,12/14/09,12/14/09,1/20/09,328
7,2009 Dec 7-13,49,42,8,12/7/09,12/7/09,12/7/09,1/20/09,321
8,2009 Nov 30-Dec 6,50,44,7,11/30/09,11/30/09,11/30/09,1/20/09,314
9,2009 Nov 23-29,50,42,8,11/23/09,11/23/09,11/23/09,1/20/09,307
10,2009 Nov 16-22,49,44,7,11/16/09,11/16/09,11/16/09,1/20/09,300
11,2009 Nov 9-15,53,39,8,11/9/09,11/9/09,11/9/09,1/20/09,293
12,2009 Nov 2-8,52,42,6,11/2/09,11/2/09,11/2/09,1/20/09,286
13,2009 Oct 26-Nov 1,53,41,7,10/26/09,10/26/09,10/26/09,1/20/09,279
14,2009 Oct 19-25,53,39,8,10/19/09,10/19/09,10/19/09,1/20/09,272
15,2009 Oct 12-18,52,41,7,10/12/09,10/12/09,10/12/09,1/20/09,265
16,2009 Oct 5-11,54,38,8,10/5/09,10/5/09,10/5/09,1/20/09,258
17,2009 Sep 28-Oct 4,52,40,8,9/28/09,9/28/09,9/28/09,1/20/09,251
18,2009 Sep 21-27,51,41,7,9/21/09,9/21/09,9/21/09,1/20/09,244
19,2009 Sep 14-20,52,41,7,9/14/09,9/14/09,9/14/09,1/20/09,237
20,2009 Sep 7-13,52,41,7,9/7/09,9/7/09,9/7/09,1/20/09,230
21,2009 Aug 31-Sep 6,53,40,7,8/31/09,8/31/09,8/31/09,1/20/09,223
22,2009 Aug 24-30,50,43,7,8/24/09,8/24/09,8/24/09,1/20/09,216
23,2009 Aug 17-23,52,41,7,8/17/09,8/17/09,8/17/09,1/20/09,209
24,2009 Aug 10-16,54,40,7,8/10/09,8/10/09,8/10/09,1/20/09,202
25,2009 Aug 3-9,56,37,7,8/3/09,8/3/09,8/3/09,1/20/09,195
26,2009 Jul 27-Aug 2,54,39,7,7/27/09,7/27/09,7/27/09,1/20/09,188
27,2009 Jul 20-26,56,38,7,7/20/09,7/20/09,7/20/09,1/20/09,181
28,2009 Jul 13-19,59,33,7,7/13/09,7/13/09,7/13/09,1/20/09,174
29,2009 Jul 6-12,58,34,7,7/6/09,7/6/09,7/6/09,1/20/09,167
30,2009 Jun 29-Jul 5,60,32,8,6/29/09,6/29/09,6/29/09,1/20/09,160
31,2009 Jun 22-28,60,33,7,6/22/09,6/22/09,6/22/09,1/20/09,153
32,2009 Jun 15-21,59,34,7,6/15/09,6/15/09,6/15/09,1/20/09,146
33,2009 Jun 8-14,61,31,8,6/8/09,6/8/09,6/8/09,1/20/09,139
34,2009 Jun 1-7,62,31,7,6/1/09,6/1/09,6/1/09,1/20/09,132
35,2009 May 25-31,63,30,7,5/25/09,5/25/09,5/25/09,1/20/09,125
36,2009 May 18-24,64,28,8,5/18/09,5/18/09,5/18/09,1/20/09,118
37,2009 May 11-17,64,29,8,5/11/09,5/11/09,5/11/09,1/20/09,111
38,2009 May 4-10,66,27,7,5/4/09,5/4/09,5/4/09,1/20/09,104
39,2009 Apr 27-May 3,65,29,6,4/27/09,4/27/09,4/27/09,1/20/09,97
40,2009 Apr 20-26,65,29,6,4/20/09,4/20/09,4/20/09,1/20/09,90
41,2009 Apr 13-19,62,29,9,4/13/09,4/13/09,4/13/09,1/20/09,83
42,2009 Apr 6-12,61,28,11,4/6/09,4/6/09,4/6/09,1/20/09,76
43,2009 Mar 30-Apr 5,62,28,10,3/30/09,3/30/09,3/30/09,1/20/09,69
44,2009 Mar 23-29,61,29,10,3/23/09,3/23/09,3/23/09,1/20/09,62
45,2009 Mar 16-22,63,26,10,3/16/09,3/16/09,3/16/09,1/20/09,55
46,2009 Mar 9-15,62,28,11,3/9/09,3/9/09,3/9/09,1/20/09,48
47,2009 Mar 2-8,62,27,12,3/2/09,3/2/09,3/2/09,1/20/09,41
48,2009 Feb 23-Mar 1,64,23,13,2/23/09,2/23/09,2/23/09,1/20/09,34
49,2009 Feb 16-22,62,25,13,2/16/09,2/16/09,2/16/09,1/20/09,27
50,2009 Feb 9-15,64,22,14,2/9/09,2/9/09,2/9/09,1/20/09,20
,2009 Feb 2-8,65,21,15,2/2/09,2/2/09,2/2/09,1/20/09,13
,2009 Jan 26-Feb 1,66,18,17,1/26/09,1/26/09,1/26/09,1/20/09,6
,2009 Jan 21-25,67,13,22,1/21/09,1/21/09,1/21/09,1/20/09,1
