date,rep_app,dem_app,ind_app,idate,presName,dop,inparty_app,President
25/1/93,33,79,57,20/1/93,Clinton,5,79,9
28/1/93,27,75,41,20/1/93,Clinton,8,75,9
30/1/93,29,73,52,20/1/93,Clinton,10,73,9
13/2/93,24,74,51,20/1/93,Clinton,24,74,9
18/2/93,27,83,55,20/1/93,Clinton,29,83,9
27/2/93,33,79,57,20/1/93,Clinton,38,79,9
13/3/93,27,80,50,20/1/93,Clinton,52,80,9
25/3/93,29,77,55,20/1/93,Clinton,64,77,9
30/3/93,23,80,48,20/1/93,Clinton,69,80,9
23/4/93,25,82,55,20/1/93,Clinton,93,82,9
11/5/93,22,71,43,20/1/93,Clinton,111,71,9
5/6/93,18,63,27,20/1/93,Clinton,136,63,9
20/6/93,15,65,32,20/1/93,Clinton,151,65,9
29/6/93,23,74,38,20/1/93,Clinton,160,74,9
10/7/93,19,77,42,20/1/93,Clinton,171,77,9
20/7/93,22,67,35,20/1/93,Clinton,181,67,9
9/8/93,14,73,38,20/1/93,Clinton,201,73,9
24/8/93,20,71,42,20/1/93,Clinton,216,71,9
11/9/93,16,75,44,20/1/93,Clinton,234,75,9
14/9/93,21,71,44,20/1/93,Clinton,237,71,9
25/9/93,29,81,53,20/1/93,Clinton,248,81,9
9/10/93,25,74,50,20/1/93,Clinton,262,74,9
17/10/93,21,77,42,20/1/93,Clinton,270,77,9
29/10/93,21,74,46,20/1/93,Clinton,282,74,9
3/11/93,19,74,43,20/1/93,Clinton,287,74,9
15/11/93,22,77,48,20/1/93,Clinton,299,77,9
20/11/93,23,78,44,20/1/93,Clinton,304,78,9
5/12/93,24,76,54,20/1/93,Clinton,319,76,9
18/12/93,29,80,50,20/1/93,Clinton,332,80,9
18/12/93,29,80,50,20/1/93,Clinton,332,80,9
8/1/94,28,78,55,20/1/93,Clinton,352,78,9
16/1/94,25,79,50,20/1/93,Clinton,360,79,9
4/2/01,88,32,53,20/1/01,Bush Jr.,15,88,10
11/2/01,88,31,54,20/1/01,Bush Jr.,22,88,10
21/2/01,91,31,59,20/1/01,Bush Jr.,32,91,10
7/3/01,91,37,59,20/1/01,Bush Jr.,46,91,10
11/3/01,89,33,56,20/1/01,Bush Jr.,50,89,10
28/3/01,86,26,48,20/1/01,Bush Jr.,67,86,10
8/4/01,89,37,53,20/1/01,Bush Jr.,78,89,10
22/4/01,93,31,61,20/1/01,Bush Jr.,92,93,10
9/5/01,88,30,48,20/1/01,Bush Jr.,109,88,10
14/5/01,92,28,53,20/1/01,Bush Jr.,114,92,10
22/5/01,89,26,56,20/1/01,Bush Jr.,122,89,10
10/6/01,93,26,48,20/1/01,Bush Jr.,141,93,10
17/6/01,87,30,48,20/1/01,Bush Jr.,148,87,10
1/7/01,87,27,45,20/1/01,Bush Jr.,162,87,10
11/7/01,90,31,52,20/1/01,Bush Jr.,172,90,10
22/7/01,88,28,53,20/1/01,Bush Jr.,183,88,10
5/8/01,85,31,52,20/1/01,Bush Jr.,197,85,10
11/8/01,89,28,54,20/1/01,Bush Jr.,203,89,10
19/8/01,90,35,52,20/1/01,Bush Jr.,211,90,10
26/8/01,85,27,54,20/1/01,Bush Jr.,218,85,10
10/9/01,87,27,44,20/1/01,Bush Jr.,233,87,10
15/9/01,95,78,84,20/1/01,Bush Jr.,238,95,10
22/9/01,98,84,89,20/1/01,Bush Jr.,245,98,10
6/10/01,98,82,81,20/1/01,Bush Jr.,259,98,10
14/10/01,99,80,89,20/1/01,Bush Jr.,267,99,10
21/10/01,98,80,88,20/1/01,Bush Jr.,274,98,10
4/11/01,99,78,83,20/1/01,Bush Jr.,288,99,10
11/11/01,97,79,84,20/1/01,Bush Jr.,295,97,10
27/11/01,98,77,86,20/1/01,Bush Jr.,311,98,10
9/12/01,97,76,83,20/1/01,Bush Jr.,323,97,10
16/12/01,98,78,82,20/1/01,Bush Jr.,330,98,10
9/1/02,98,73,83,20/1/01,Bush Jr.,354,98,10
25/1/09,41,88,62,20/1/09,Obama,5,88,11
1/2/09,38,88,62,20/1/09,Obama,12,88,11
8/2/09,34,89,63,20/1/09,Obama,19,89,11
15/2/09,30,89,63,20/1/09,Obama,26,89,11
22/2/09,28,89,59,20/1/09,Obama,33,89,11
1/3/09,35,88,60,20/1/09,Obama,40,88,11
8/3/09,27,90,60,20/1/09,Obama,47,90,11
15/3/09,26,91,59,20/1/09,Obama,54,91,11
22/3/09,27,90,62,20/1/09,Obama,61,90,11
29/3/09,28,92,57,20/1/09,Obama,68,92,11
5/4/09,27,90,60,20/1/09,Obama,75,90,11
12/4/09,25,89,60,20/1/09,Obama,82,89,11
19/4/09,28,91,58,20/1/09,Obama,89,91,11
26/4/09,28,92,64,20/1/09,Obama,96,92,11
3/5/09,31,93,61,20/1/09,Obama,103,93,11
10/5/09,31,91,66,20/1/09,Obama,110,91,11
10/5/09,27.7,92.3,55.2,20/1/09,Obama,110,92.3,11
17/5/09,25,91,61,20/1/09,Obama,117,91,11
24/5/09,27,91,62,20/1/09,Obama,124,91,11
31/5/09,29,90,62,20/1/09,Obama,131,90,11
31/5/09,19,95.3,58.4,20/1/09,Obama,131,95.3,11
7/6/09,26,91,60,20/1/09,Obama,138,91,11
7/6/09,20.1,93.7,57.3,20/1/09,Obama,138,93.7,11
14/6/09,25,89,59,20/1/09,Obama,145,89,11
21/6/09,23,90,55,20/1/09,Obama,152,90,11
28/6/09,25,88,60,20/1/09,Obama,159,88,11
5/7/09,25,90,54,20/1/09,Obama,166,90,11
12/7/09,20,90,56,20/1/09,Obama,173,90,11
12/7/09,23.1,85.9,59.2,20/1/09,Obama,173,85.9,11
19/7/09,23,92,56,20/1/09,Obama,180,92,11
19/7/09,21.6,88.5,48.9,20/1/09,Obama,180,88.5,11
26/7/09,21,88,51,20/1/09,Obama,187,88,11
2/8/09,20,87,47,20/1/09,Obama,194,87,11
9/8/09,17,90,52,20/1/09,Obama,201,90,11
9/8/09,16,88.8,47.7,20/1/09,Obama,201,88.8,11
16/8/09,20,86,46,20/1/09,Obama,208,86,11
23/8/09,16,86,49,20/1/09,Obama,215,86,11
30/8/09,16,84,48,20/1/09,Obama,222,84,11
2/9/09,15.6,88.8,49.9,20/1/09,Obama,225,88.8,11
6/9/09,18,86,47,20/1/09,Obama,229,86,11
13/9/09,18,86,46,20/1/09,Obama,236,86,11
13/9/09,18.8,89.9,47.2,20/1/09,Obama,236,89.9,11
20/9/09,16,84,48,20/1/09,Obama,243,84,11
27/9/09,19,88,43,20/1/09,Obama,250,88,11
4/10/09,16,87,46,20/1/09,Obama,257,87,11
11/10/09,18,83,54,20/1/09,Obama,264,83,11
18/10/09,16,84,48,20/1/09,Obama,271,84,11
25/10/09,18,87,46,20/1/09,Obama,278,87,11
1/11/09,18,87,50,20/1/09,Obama,285,87,11
8/11/09,18,84,50,20/1/09,Obama,292,84,11
15/11/09,17,88,48,20/1/09,Obama,299,88,11
22/11/09,14,86,44,20/1/09,Obama,306,86,11
29/11/09,18,82,44,20/1/09,Obama,313,82,11
6/12/09,17,82,46,20/1/09,Obama,320,82,11
13/12/09,18,81,46,20/1/09,Obama,327,81,11
20/12/09,17,84,45,20/1/09,Obama,334,84,11
27/12/09,18,86,48,20/1/09,Obama,341,86,11
3/1/10,16,85,47,20/1/09,Obama,348,85,11
10/1/10,15,84,45,20/1/09,Obama,355,84,11
29/1/17,89,13,42,20/1/17,Trump,9,89,12
5/2/17,86,8,41,20/1/17,Trump,16,86,12
12/2/17,87,11,35,20/1/17,Trump,23,87,12
19/2/17,86,7,37,20/1/17,Trump,30,86,12
26/2/17,88,10,38,20/1/17,Trump,37,88,12
5/3/17,88,10,39,20/1/17,Trump,44,88,12
12/3/17,88,9,36,20/1/17,Trump,51,88,12
19/3/17,86,10,35,20/1/17,Trump,58,86,12
26/3/17,84,8,33,20/1/17,Trump,65,84,12
2/4/17,81,6,36,20/1/17,Trump,72,81,12
9/4/17,87,6,34,20/1/17,Trump,79,87,12
16/4/17,87,10,36,20/1/17,Trump,86,87,12
23/4/17,86,9,36,20/1/17,Trump,93,86,12
30/4/17,87,12,36,20/1/17,Trump,100,87,12
7/5/17,84,9,40,20/1/17,Trump,107,84,12
14/5/17,84,8,35,20/1/17,Trump,114,84,12
21/5/17,84,7,31,20/1/17,Trump,121,84,12
28/5/17,87,8,37,20/1/17,Trump,128,87,12
4/6/17,82,7,34,20/1/17,Trump,135,82,12
11/6/17,83,8,31,20/1/17,Trump,142,83,12
18/6/17,84,6,32,20/1/17,Trump,149,84,12
25/6/17,85,6,34,20/1/17,Trump,156,85,12
2/7/17,85,8,36,20/1/17,Trump,163,85,12
9/7/17,85,8,35,20/1/17,Trump,170,85,12
16/7/17,87,8,33,20/1/17,Trump,177,87,12
23/7/17,86,8,31,20/1/17,Trump,184,86,12
30/7/17,82,7,32,20/1/17,Trump,191,82,12
6/8/17,82,7,30,20/1/17,Trump,198,82,12
13/8/17,79,7,29,20/1/17,Trump,205,79,12
20/8/17,79,8,31,20/1/17,Trump,212,79,12
27/8/17,78,7,30,20/1/17,Trump,219,78,12
3/9/17,79,8,32,20/1/17,Trump,226,79,12
10/9/17,80,9,31,20/1/17,Trump,233,80,12
17/9/17,81,9,35,20/1/17,Trump,240,81,12
24/9/17,82,8,35,20/1/17,Trump,247,82,12
1/10/17,80,7,31,20/1/17,Trump,254,80,12
8/10/17,81,9,33,20/1/17,Trump,261,81,12
15/10/17,79,8,33,20/1/17,Trump,268,79,12
22/10/17,80,8,33,20/1/17,Trump,275,80,12
29/10/17,78,7,33,20/1/17,Trump,282,78,12
5/11/17,83,6,35,20/1/17,Trump,289,83,12
12/11/17,82,8,33,20/1/17,Trump,296,82,12
19/11/17,81,8,34,20/1/17,Trump,303,81,12
26/11/17,81,7,34,20/1/17,Trump,310,81,12
3/12/17,78,7,32,20/1/17,Trump,317,78,12
10/12/17,82,5,32,20/1/17,Trump,324,82,12
17/12/17,77,7,31,20/1/17,Trump,331,77,12
24/12/17,80,7,33,20/1/17,Trump,338,80,12
31/12/17,82,9,34,20/1/17,Trump,345,82,12
7/1/18,87,5,32,20/1/17,Trump,352,87,12
