date,rep_app,dem_app,ind_app,idate,presName,dop,inparty_app,President
4/2/01,88,32,53,20/1/01,Bush Jr.,15,88,10
11/2/01,88,31,54,20/1/01,Bush Jr.,22,88,10
21/2/01,91,31,59,20/1/01,Bush Jr.,32,91,10
7/3/01,91,37,59,20/1/01,Bush Jr.,46,91,10
11/3/01,89,33,56,20/1/01,Bush Jr.,50,89,10
28/3/01,86,26,48,20/1/01,Bush Jr.,67,86,10
8/4/01,89,37,53,20/1/01,Bush Jr.,78,89,10
22/4/01,93,31,61,20/1/01,Bush Jr.,92,93,10
9/5/01,88,30,48,20/1/01,Bush Jr.,109,88,10
14/5/01,92,28,53,20/1/01,Bush Jr.,114,92,10
22/5/01,89,26,56,20/1/01,Bush Jr.,122,89,10
10/6/01,93,26,48,20/1/01,Bush Jr.,141,93,10
17/6/01,87,30,48,20/1/01,Bush Jr.,148,87,10
1/7/01,87,27,45,20/1/01,Bush Jr.,162,87,10
11/7/01,90,31,52,20/1/01,Bush Jr.,172,90,10
22/7/01,88,28,53,20/1/01,Bush Jr.,183,88,10
5/8/01,85,31,52,20/1/01,Bush Jr.,197,85,10
11/8/01,89,28,54,20/1/01,Bush Jr.,203,89,10
19/8/01,90,35,52,20/1/01,Bush Jr.,211,90,10
26/8/01,85,27,54,20/1/01,Bush Jr.,218,85,10
10/9/01,87,27,44,20/1/01,Bush Jr.,233,87,10
15/9/01,95,78,84,20/1/01,Bush Jr.,238,95,10
22/9/01,98,84,89,20/1/01,Bush Jr.,245,98,10
6/10/01,98,82,81,20/1/01,Bush Jr.,259,98,10
14/10/01,99,80,89,20/1/01,Bush Jr.,267,99,10
21/10/01,98,80,88,20/1/01,Bush Jr.,274,98,10
4/11/01,99,78,83,20/1/01,Bush Jr.,288,99,10
11/11/01,97,79,84,20/1/01,Bush Jr.,295,97,10
27/11/01,98,77,86,20/1/01,Bush Jr.,311,98,10
9/12/01,97,76,83,20/1/01,Bush Jr.,323,97,10
16/12/01,98,78,82,20/1/01,Bush Jr.,330,98,10
9/1/02,98,73,83,20/1/01,Bush Jr.,354,98,10
