date,rep_app,dem_app,ind_app,idate,presName,dop,inparty_app,President
25/1/93,33,79,57,20/1/93,Clinton,5,79,9
28/1/93,27,75,41,20/1/93,Clinton,8,75,9
30/1/93,29,73,52,20/1/93,Clinton,10,73,9
13/2/93,24,74,51,20/1/93,Clinton,24,74,9
18/2/93,27,83,55,20/1/93,Clinton,29,83,9
27/2/93,33,79,57,20/1/93,Clinton,38,79,9
13/3/93,27,80,50,20/1/93,Clinton,52,80,9
25/3/93,29,77,55,20/1/93,Clinton,64,77,9
30/3/93,23,80,48,20/1/93,Clinton,69,80,9
23/4/93,25,82,55,20/1/93,Clinton,93,82,9
11/5/93,22,71,43,20/1/93,Clinton,111,71,9
5/6/93,18,63,27,20/1/93,Clinton,136,63,9
20/6/93,15,65,32,20/1/93,Clinton,151,65,9
29/6/93,23,74,38,20/1/93,Clinton,160,74,9
10/7/93,19,77,42,20/1/93,Clinton,171,77,9
20/7/93,22,67,35,20/1/93,Clinton,181,67,9
9/8/93,14,73,38,20/1/93,Clinton,201,73,9
24/8/93,20,71,42,20/1/93,Clinton,216,71,9
11/9/93,16,75,44,20/1/93,Clinton,234,75,9
14/9/93,21,71,44,20/1/93,Clinton,237,71,9
25/9/93,29,81,53,20/1/93,Clinton,248,81,9
9/10/93,25,74,50,20/1/93,Clinton,262,74,9
17/10/93,21,77,42,20/1/93,Clinton,270,77,9
29/10/93,21,74,46,20/1/93,Clinton,282,74,9
3/11/93,19,74,43,20/1/93,Clinton,287,74,9
15/11/93,22,77,48,20/1/93,Clinton,299,77,9
20/11/93,23,78,44,20/1/93,Clinton,304,78,9
5/12/93,24,76,54,20/1/93,Clinton,319,76,9
18/12/93,29,80,50,20/1/93,Clinton,332,80,9
8/1/94,28,78,55,20/1/93,Clinton,352,78,9
16/1/94,25,79,50,20/1/93,Clinton,360,79,9
