date,rep_app,dem_app,ind_app,idate,presName,dop,inparty_app,President
25/1/09,41,88,62,20/1/09,Obama,5,88,11
1/2/09,38,88,62,20/1/09,Obama,12,88,11
8/2/09,34,89,63,20/1/09,Obama,19,89,11
15/2/09,30,89,63,20/1/09,Obama,26,89,11
22/2/09,28,89,59,20/1/09,Obama,33,89,11
1/3/09,35,88,60,20/1/09,Obama,40,88,11
8/3/09,27,90,60,20/1/09,Obama,47,90,11
15/3/09,26,91,59,20/1/09,Obama,54,91,11
22/3/09,27,90,62,20/1/09,Obama,61,90,11
29/3/09,28,92,57,20/1/09,Obama,68,92,11
5/4/09,27,90,60,20/1/09,Obama,75,90,11
12/4/09,25,89,60,20/1/09,Obama,82,89,11
19/4/09,28,91,58,20/1/09,Obama,89,91,11
26/4/09,28,92,64,20/1/09,Obama,96,92,11
3/5/09,31,93,61,20/1/09,Obama,103,93,11
10/5/09,31,91,66,20/1/09,Obama,110,91,11
10/5/09,27.7,92.3,55.2,20/1/09,Obama,110,92.3,11
17/5/09,25,91,61,20/1/09,Obama,117,91,11
24/5/09,27,91,62,20/1/09,Obama,124,91,11
31/5/09,29,90,62,20/1/09,Obama,131,90,11
31/5/09,19,95.3,58.4,20/1/09,Obama,131,95.3,11
7/6/09,26,91,60,20/1/09,Obama,138,91,11
7/6/09,20.1,93.7,57.3,20/1/09,Obama,138,93.7,11
14/6/09,25,89,59,20/1/09,Obama,145,89,11
21/6/09,23,90,55,20/1/09,Obama,152,90,11
28/6/09,25,88,60,20/1/09,Obama,159,88,11
5/7/09,25,90,54,20/1/09,Obama,166,90,11
12/7/09,20,90,56,20/1/09,Obama,173,90,11
12/7/09,23.1,85.9,59.2,20/1/09,Obama,173,85.9,11
19/7/09,23,92,56,20/1/09,Obama,180,92,11
19/7/09,21.6,88.5,48.9,20/1/09,Obama,180,88.5,11
26/7/09,21,88,51,20/1/09,Obama,187,88,11
2/8/09,20,87,47,20/1/09,Obama,194,87,11
9/8/09,17,90,52,20/1/09,Obama,201,90,11
9/8/09,16,88.8,47.7,20/1/09,Obama,201,88.8,11
16/8/09,20,86,46,20/1/09,Obama,208,86,11
23/8/09,16,86,49,20/1/09,Obama,215,86,11
30/8/09,16,84,48,20/1/09,Obama,222,84,11
2/9/09,15.6,88.8,49.9,20/1/09,Obama,225,88.8,11
6/9/09,18,86,47,20/1/09,Obama,229,86,11
13/9/09,18,86,46,20/1/09,Obama,236,86,11
13/9/09,18.8,89.9,47.2,20/1/09,Obama,236,89.9,11
20/9/09,16,84,48,20/1/09,Obama,243,84,11
27/9/09,19,88,43,20/1/09,Obama,250,88,11
4/10/09,16,87,46,20/1/09,Obama,257,87,11
11/10/09,18,83,54,20/1/09,Obama,264,83,11
18/10/09,16,84,48,20/1/09,Obama,271,84,11
25/10/09,18,87,46,20/1/09,Obama,278,87,11
1/11/09,18,87,50,20/1/09,Obama,285,87,11
8/11/09,18,84,50,20/1/09,Obama,292,84,11
15/11/09,17,88,48,20/1/09,Obama,299,88,11
22/11/09,14,86,44,20/1/09,Obama,306,86,11
29/11/09,18,82,44,20/1/09,Obama,313,82,11
6/12/09,17,82,46,20/1/09,Obama,320,82,11
13/12/09,18,81,46,20/1/09,Obama,327,81,11
20/12/09,17,84,45,20/1/09,Obama,334,84,11
27/12/09,18,86,48,20/1/09,Obama,341,86,11
3/1/10,16,85,47,20/1/09,Obama,348,85,11
10/1/10,15,84,45,20/1/09,Obama,355,84,11
