president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,1/10/18,40.85157,45.58279,36.12034,54.47198,58.82751,50.11646,10/1/18 19:50
Donald Trump,Adults,43374,38.98797,43.16752,34.80841,54.35324,59.0119,49.69458,2018-01-10
Donald Trump,All polls,1/10/18,39.22063,43.93981,34.50145,54.60398,59.30174,49.90623,10/1/18 19:50
Donald Trump,Adults,43344,38.61844,42.97126,34.26562,54.84727,59.70905,49.98549,2018-01-09
Donald Trump,Voters,1/9/18,40.5409,45.0532,36.02861,54.79406,58.93209,50.65604,9/1/18 9:31
Donald Trump,All polls,1/9/18,38.73449,43.51689,33.95209,55.00918,59.65797,50.36039,9/1/18 9:31
Donald Trump,Voters,1/8/18,40.48848,45.01125,35.96571,54.79395,58.93571,50.65219,8/1/18 15:28
Donald Trump,Adults,43313,38.61844,42.97126,34.26562,54.84727,59.70905,49.98549,2018-01-08
Donald Trump,All polls,1/8/18,38.69312,43.41864,33.9676,55.00991,59.66267,50.35715,8/1/18 15:28
Donald Trump,All polls,1/7/18,38.82547,43.64261,34.00834,54.96257,59.63041,50.29473,8/1/18 9:03
Donald Trump,Voters,1/7/18,40.64473,45.25613,36.03334,54.73632,58.91682,50.55581,8/1/18 9:04
Donald Trump,Adults,43282,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,2018-01-08
Donald Trump,All polls,1/6/18,38.82547,43.64261,34.00834,54.96257,59.63041,50.29473,8/1/18 9:03
Donald Trump,Adults,43252,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,2018-01-08
Donald Trump,Voters,1/6/18,40.64473,45.25613,36.03334,54.73632,58.91682,50.55581,8/1/18 9:04
Donald Trump,Voters,1/5/18,40.64473,45.25613,36.03334,54.73632,58.91682,50.55581,5/1/18 23:37
Donald Trump,Adults,43221,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,2018-01-05
Donald Trump,All polls,1/5/18,38.82547,43.64261,34.00834,54.96257,59.63041,50.29473,5/1/18 23:37
Donald Trump,Adults,43191,38.15102,42.57115,33.73088,55.35013,60.21455,50.4857,2018-01-04
Donald Trump,Voters,1/4/18,40.28809,45.02804,35.54815,55.00038,59.29904,50.70172,4/1/18 14:37
Donald Trump,All polls,1/4/18,38.47328,43.46577,33.48078,55.33284,60.01302,50.65265,4/1/18 14:37
Donald Trump,Adults,43160,37.76004,41.94017,33.5799,55.76106,60.762,50.76013,2018-01-03
Donald Trump,Voters,1/3/18,40.21217,44.87788,35.54647,55.12443,59.37215,50.8767,3/1/18 12:59
Donald Trump,All polls,1/3/18,38.16097,43.0086,33.31334,55.69035,60.4595,50.9212,3/1/18 12:59
Donald Trump,Adults,43132,37.71881,42.00691,33.43071,55.879,60.83708,50.92091,2018-01-02
Donald Trump,Voters,1/2/18,39.89989,44.6306,35.16919,55.2852,59.59282,50.97758,2/1/18 21:35
Donald Trump,All polls,1/2/18,38.12047,42.98391,33.25703,55.82487,60.59271,51.05703,2/1/18 21:35
Donald Trump,Adults,43101,37.33959,41.62288,33.0563,56.36489,61.42876,51.30103,2018-01-02
Donald Trump,All polls,1/1/18,37.8654,42.80467,32.92613,56.16106,61.01686,51.30525,2/1/18 21:35
Donald Trump,Voters,1/1/18,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,2/1/18 21:35
Donald Trump,Adults,12/31/2017,37.33959,41.62288,33.0563,56.36489,61.42876,51.30103,2017-12-31
Donald Trump,Voters,12/31/2017,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,31/12/17 13:04
Donald Trump,All polls,12/31/2017,37.8654,42.80467,32.92613,56.16106,61.01686,51.30525,31/12/17 13:04
Donald Trump,Voters,12/30/2017,39.47977,44.27288,34.68666,55.76954,60.13069,51.40839,30/12/17 13:07
