president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,idate,dop
Donald Trump,Adults,43374,38.98797,43.16752,34.80841,54.35324,59.0119,49.69458,10/1/18,20/1/17,355
Donald Trump,Adults,43344,38.61844,42.97126,34.26562,54.84727,59.70905,49.98549,9/1/18,20/1/17,354
Donald Trump,Adults,43313,38.61844,42.97126,34.26562,54.84727,59.70905,49.98549,8/1/18,20/1/17,353
Donald Trump,Adults,43282,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,8/1/18,20/1/17,353
Donald Trump,Adults,43252,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,8/1/18,20/1/17,353
Donald Trump,Adults,43221,38.72204,43.11031,34.33376,54.79131,59.62421,49.95842,5/1/18,20/1/17,350
Donald Trump,Adults,43191,38.15102,42.57115,33.73088,55.35013,60.21455,50.4857,4/1/18,20/1/17,349
Donald Trump,Adults,43160,37.76004,41.94017,33.5799,55.76106,60.762,50.76013,3/1/18,20/1/17,348
Donald Trump,Adults,43132,37.71881,42.00691,33.43071,55.879,60.83708,50.92091,2/1/18,20/1/17,347
Donald Trump,Adults,43101,37.33959,41.62288,33.0563,56.36489,61.42876,51.30103,2/1/18,20/1/17,347
Donald Trump,Adults,12/31/2017,37.33959,41.62288,33.0563,56.36489,61.42876,51.30103,31/12/17,20/1/17,345
Donald Trump,Adults,12/30/2017,37.12983,41.34206,32.9176,56.50421,61.57931,51.42911,30/12/17,20/1/17,344
Donald Trump,Adults,12/29/2017,37.08881,41.29662,32.881,56.61979,61.70961,51.52996,29/12/17,20/1/17,343
Donald Trump,Adults,12/28/2017,36.64524,40.75099,32.53949,56.9993,62.23492,51.76368,28/12/17,20/1/17,342
Donald Trump,Adults,12/27/2017,36.40348,40.55858,32.24838,57.36427,62.49175,52.23679,27/12/17,20/1/17,341
Donald Trump,Adults,12/26/2017,36.36728,40.52427,32.21029,57.42441,62.56409,52.28473,26/12/17,20/1/17,340
