,date,approve,disapprove,dk,startDate,endDate,midDate,idate,dop
1,94 Jan 15-17,54,38,8,1/15/94,1/17/94,1/16/94,1/20/93,361
2,94 Jan 6-8,54,38,8,1/6/94,1/8/94,1/7/94,1/20/93,352
3,93 Dec 17-19,54,40,6,12/17/93,12/19/93,12/18/93,1/20/93,332
4,93 Dec 4-6,52,38,10,12/4/93,12/6/93,12/5/93,1/20/93,319
5,93 Nov 19-21,48,43,9,11/19/93,11/21/93,11/20/93,1/20/93,304
6,93 Nov 15-16,50,43,7,11/15/93,11/16/93,11/15/93,1/20/93,299
7,93 Nov 2-4,48,45,7,11/2/93,11/4/93,11/3/93,1/20/93,287
8,93 Oct 28-30,48,45,7,10/28/93,10/30/93,10/29/93,1/20/93,282
9,93 Oct 13-18,47,44,9,10/13/93,10/18/93,10/15/93,1/20/93,268
10,93 Oct 8-10,50,42,8,10/8/93,10/10/93,10/9/93,1/20/93,262
11,93 Sep 24-26,56,36,8,9/24/93,9/26/93,9/25/93,1/20/93,248
12,93 Sep 13-15,46,43,11,9/13/93,9/15/93,9/14/93,1/20/93,237
13,93 Sep 10-12,47,42,11,9/10/93,9/12/93,9/11/93,1/20/93,234
14,93 Aug 23-25,44,47,9,8/23/93,8/25/93,8/24/93,1/20/93,216
15,93 Aug 8-10,44,48,8,8/8/93,8/10/93,8/9/93,1/20/93,201
16,93 Jul 19-21,41,49,10,7/19/93,7/21/93,7/20/93,1/20/93,181
17,93 Jul 9-11,45,48,7,7/9/93,7/11/93,7/10/93,1/20/93,171
18,93 Jun 29-30,46,47,7,6/29/93,6/30/93,6/29/93,1/20/93,160
19,93 Jun 18-21,39,50,11,6/18/93,6/21/93,6/20/93,1/20/93,151
20,93 Jun 5-6,37,49,14,6/5/93,6/6/93,6/5/93,1/20/93,136
21,93 May 21-23,44,46,10,5/21/93,5/23/93,5/22/93,1/20/93,122
22,93 May 10-12,45,44,11,5/10/93,5/12/93,5/11/93,1/20/93,111
23,93 Apr 22-24,55,37,8,4/22/93,4/24/93,4/23/93,1/20/93,93
24,93 Mar 29-31,52,37,11,3/29/93,3/31/93,3/30/93,1/20/93,69
25,93 Mar 12-14,53,34,13,3/12/93,3/14/93,3/13/93,1/20/93,52
26,93 Feb 26-28,59,29,12,2/26/93,2/28/93,2/27/93,1/20/93,38
27,93 Feb 12-14,51,34,15,2/12/93,2/14/93,2/13/93,1/20/93,24
28,93 Jan 29-31,54,30,16,1/29/93,1/31/93,1/30/93,1/20/93,10
29,93 Jan 24-26,58,20,22,1/24/93,1/26/93,1/25/93,1/20/93,5
30,,,,,,,,,
