,date,approve,disapprove,dk,startDate,endDate,midDate,idate,dop
4,2018 Jan 8-14,38,57,5,1/8/18,1/8/18,1/8/18,1/20/17,353
5,2018 Jan 1-7,37,58,4,1/1/18,1/1/18,1/1/18,1/20/17,346
7,2017 Dec 25-31,39,55,6,12/25/17,12/25/17,12/25/17,1/20/17,339
8,2017 Dec 18-24,37,57,6,12/18/17,12/18/17,12/18/17,1/20/17,332
9,2017 Dec 11-17,35,60,5,12/11/17,12/11/17,12/11/17,1/20/17,325
10,2017 Dec 4-10,36,59,5,12/4/17,12/4/17,12/4/17,1/20/17,318
11,2017 Nov 27-Dec 3,35,59,5,11/27/17,11/27/17,11/27/17,1/20/17,311
12,2017 Nov 20-26,37,56,7,11/20/17,11/20/17,11/20/17,1/20/17,304
13,2017 Nov 13-19,38,57,6,11/13/17,11/13/17,11/13/17,1/20/17,297
14,2017 Nov 6-12,38,56,6,11/6/17,11/6/17,11/6/17,1/20/17,290
15,2017 Oct 30-Nov 5,38,58,5,10/30/17,10/30/17,10/30/17,1/20/17,283
16,2017 Oct 23-29,35,60,5,10/23/17,10/23/17,10/23/17,1/20/17,276
17,2017 Oct 16-22,36,58,6,10/16/17,10/16/17,10/16/17,1/20/17,269
18,2017 Oct 9-15,37,57,6,10/9/17,10/9/17,10/9/17,1/20/17,262
19,2017 Oct 2-8,38,56,6,10/2/17,10/2/17,10/2/17,1/20/17,255
20,2017 Sep 25-Oct 1,37,58,5,9/25/17,9/25/17,9/25/17,1/20/17,248
21,2017 Sep 18-24,38,55,6,9/18/17,9/18/17,9/18/17,1/20/17,241
22,2017 Sep 11-17,38,57,6,9/11/17,9/11/17,9/11/17,1/20/17,234
23,2017 Sep 4-10,37,57,6,9/4/17,9/4/17,9/4/17,1/20/17,227
24,2017 Aug 28-Sep 3,36,59,6,8/28/17,8/28/17,8/28/17,1/20/17,220
25,2017 Aug 21-27,35,60,5,8/21/17,8/21/17,8/21/17,1/20/17,213
26,2017 Aug 14-20,37,58,6,8/14/17,8/14/17,8/14/17,1/20/17,206
27,2017 Aug 7-13,36,58,6,8/7/17,8/7/17,8/7/17,1/20/17,199
28,2017 Jul 31-Aug 6,37,58,5,7/31/17,7/31/17,7/31/17,1/20/17,192
29,2017 Jul 24-30,38,57,5,7/24/17,7/24/17,7/24/17,1/20/17,185
30,2017 Jul 17-23,37,58,5,7/17/17,7/17/17,7/17/17,1/20/17,178
31,2017 Jul 10-16,39,56,6,7/10/17,7/10/17,7/10/17,1/20/17,171
32,2017 Jul 3-9,38,57,5,7/3/17,7/3/17,7/3/17,1/20/17,164
33,2017 Jun 26-Jul 2,39,56,5,6/26/17,6/26/17,6/26/17,1/20/17,157
34,2017 Jun 19-25,39,56,5,6/19/17,6/19/17,6/19/17,1/20/17,150
35,2017 Jun 12-18,38,57,6,6/12/17,6/12/17,6/12/17,1/20/17,143
36,2017 Jun 5-11,37,58,5,6/5/17,6/5/17,6/5/17,1/20/17,136
37,2017 May 29-Jun 4,38,56,6,5/29/17,5/29/17,5/29/17,1/20/17,129
38,2017 May 22-28,41,54,5,5/22/17,5/22/17,5/22/17,1/20/17,122
39,2017 May 15-21,38,56,6,5/15/17,5/15/17,5/15/17,1/20/17,115
40,2017 May 8-14,38,56,6,5/8/17,5/8/17,5/8/17,1/20/17,108
41,2017 May 1-7,42,53,6,5/1/17,5/1/17,5/1/17,1/20/17,101
42,2017 Apr 24-30,41,54,5,4/24/17,4/24/17,4/24/17,1/20/17,94
43,2017 Apr 17-23,41,52,7,4/17/17,4/17/17,4/17/17,1/20/17,87
44,2017 Apr 10-16,40,54,6,4/10/17,4/10/17,4/10/17,1/20/17,80
45,2017 Apr 3-9,40,53,7,4/3/17,4/3/17,4/3/17,1/20/17,73
46,2017 Mar 27-Apr 2,38,57,5,3/27/17,3/27/17,3/27/17,1/20/17,66
47,2017 Mar 20-26,39,56,6,3/20/17,3/20/17,3/20/17,1/20/17,59
48,2017 Mar 13-19,40,55,5,3/13/17,3/13/17,3/13/17,1/20/17,52
49,2017 Mar 6-12,42,52,6,3/6/17,3/6/17,3/6/17,1/20/17,45
50,2017 Feb 27-Mar 5,43,51,6,2/27/17,2/27/17,2/27/17,1/20/17,38
51,2017 Feb 20-26,42,53,5,2/20/17,2/20/17,2/20/17,1/20/17,31
52,2017 Feb 13-19,40,54,5,2/13/17,2/13/17,2/13/17,1/20/17,24
53,2017 Feb 6-12,41,53,6,2/6/17,2/6/17,2/6/17,1/20/17,17
54,2017 Jan 30-Feb 5,43,52,5,1/30/17,1/30/17,1/30/17,1/20/17,10
55,2017 Jan 20-29,45,47,8,1/20/17,1/20/17,1/20/17,1/20/17,0
