"","date","rep_app","dem_app","ind_app","idate","presName","dop","inparty_app","President"
"1","29/1/17",89,13,42,"20/1/17","Trump",9,89,12
"2","5/2/17",86,8,41,"20/1/17","Trump",16,86,12
"3","12/2/17",87,11,35,"20/1/17","Trump",23,87,12
"4","19/2/17",86,7,37,"20/1/17","Trump",30,86,12
"5","26/2/17",88,10,38,"20/1/17","Trump",37,88,12
"6","5/3/17",88,10,39,"20/1/17","Trump",44,88,12
"7","12/3/17",88,9,36,"20/1/17","Trump",51,88,12
"8","19/3/17",86,10,35,"20/1/17","Trump",58,86,12
"9","26/3/17",84,8,33,"20/1/17","Trump",65,84,12
"10","2/4/17",81,6,36,"20/1/17","Trump",72,81,12
"11","9/4/17",87,6,34,"20/1/17","Trump",79,87,12
"12","16/4/17",87,10,36,"20/1/17","Trump",86,87,12
"13","23/4/17",86,9,36,"20/1/17","Trump",93,86,12
"14","30/4/17",87,12,36,"20/1/17","Trump",100,87,12
"15","7/5/17",84,9,40,"20/1/17","Trump",107,84,12
"16","14/5/17",84,8,35,"20/1/17","Trump",114,84,12
"17","21/5/17",84,7,31,"20/1/17","Trump",121,84,12
"18","28/5/17",87,8,37,"20/1/17","Trump",128,87,12
"19","4/6/17",82,7,34,"20/1/17","Trump",135,82,12
"20","11/6/17",83,8,31,"20/1/17","Trump",142,83,12
"21","18/6/17",84,6,32,"20/1/17","Trump",149,84,12
"22","25/6/17",85,6,34,"20/1/17","Trump",156,85,12
"23","2/7/17",85,8,36,"20/1/17","Trump",163,85,12
"24","9/7/17",85,8,35,"20/1/17","Trump",170,85,12
"25","16/7/17",87,8,33,"20/1/17","Trump",177,87,12
"26","23/7/17",86,8,31,"20/1/17","Trump",184,86,12
"27","30/7/17",82,7,32,"20/1/17","Trump",191,82,12
"28","6/8/17",82,7,30,"20/1/17","Trump",198,82,12
"29","13/8/17",79,7,29,"20/1/17","Trump",205,79,12
"30","20/8/17",79,8,31,"20/1/17","Trump",212,79,12
"31","27/8/17",78,7,30,"20/1/17","Trump",219,78,12
"32","3/9/17",79,8,32,"20/1/17","Trump",226,79,12
"33","10/9/17",80,9,31,"20/1/17","Trump",233,80,12
"34","17/9/17",81,9,35,"20/1/17","Trump",240,81,12
"35","24/9/17",82,8,35,"20/1/17","Trump",247,82,12
"36","1/10/17",80,7,31,"20/1/17","Trump",254,80,12
"37","8/10/17",81,9,33,"20/1/17","Trump",261,81,12
"38","15/10/17",79,8,33,"20/1/17","Trump",268,79,12
"39","22/10/17",80,8,33,"20/1/17","Trump",275,80,12
"40","29/10/17",78,7,33,"20/1/17","Trump",282,78,12
"41","5/11/17",83,6,35,"20/1/17","Trump",289,83,12
"42","12/11/17",82,8,33,"20/1/17","Trump",296,82,12
"43","19/11/17",81,8,34,"20/1/17","Trump",303,81,12
"44","26/11/17",81,7,34,"20/1/17","Trump",310,81,12
"45","3/12/17",78,7,32,"20/1/17","Trump",317,78,12
"46","10/12/17",82,5,32,"20/1/17","Trump",324,82,12
"47","17/12/17",77,7,31,"20/1/17","Trump",331,77,12
"48","24/12/17",80,7,33,"20/1/17","Trump",338,80,12
"49","31/12/17",82,9,34,"20/1/17","Trump",345,82,12
"50","7/1/18",87,5,32,"20/1/17","Trump",352,87,12
